Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
Dijual Murah Motor Pulsar 180CC UG4 Custom Bobber Cruiser;pulsar;kawasaki;hitam;2011;jakarta;14.500.000,00;180;<15jt;;;;;;;;;;;;;;;;
For sale: piaggio 2019 125 S IGET;vespa;piaggio;hitam;2019;jawa barat;35.000.000,00;125;30-45jt;;;;;;;;;;;;;;;;
JUAL Ninja RR new;ninja;kawasaki;hijau;2015;banten;22.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa exclusive 2 tahun 1995;vespa;vespa;biru;1990;jawa barat;18.500.000,00;100;15-30jt;;;;;;;;;;;;;;;;
Dijual Cepat Motor Honda Beat tahun 2016 harga Nego;beat;honda;merah;2016;sumatera barat;8.500.000,00;108;<15jt;;;;;;;;;;;;;;;;
Honda Beat FI tahun 2013;beat;honda;merah;2013;jawa barat;7.300.000,00;110;<15jt;;;;;;;;;;;;;;;;
Yamaha Mio J tahun 2013;mio;yamaha;hitam;2013;jawa barat;6.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Kawasaki Z1000 Sugomi 2014 Black;z1000 sugomi;kawasaki;hitam;2014;jawa tengah;185.000.000,00;1000;>60jt;;;;;;;;;;;;;;;;
Yamaha SOUL GT;mio soul;yamaha;abu-abu;2016;banten;7.200.000,00;125;<15jt;;;;;;;;;;;;;;;;
Jual Honda Sonic tahun 2016;sonic;honda;merah;2016;banten;15.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Honda Beat Carbu 2009 Dari Baru;beat;honda;hitam;2009;banten;7.200.000,00;110;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor BMW R1200GS LC K50, Thn 2013, FP;r1200gs;bmw;abu-abu;2013;jakarta;408.000.000,00;1200;>60jt;;;;;;;;;;;;;;;;
Vario agnes 2016 lengkap;vario;honda;abu-abu;2016;jawa barat;9.900.000,00;110;<15jt;;;;;;;;;;;;;;;;
jual vario 125 led;vario;honda;merah;2016;jakarta;11.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Kereta ninja warior;ninja;kawasaki;hitam;2010;sumatera utara;27.000.000,00;250;15-30jt;;;;;;;;;;;;;;;;
ADV 150 Mulus , km rendah , Pajak Panjang sekali;adv;honda;merah;2019;jakarta;31.500.000,00;150;30-45jt;;;;;;;;;;;;;;;;
Supra X 125;supra;honda;merah;2006;jawa barat;4.800.000,00;125;<15jt;;;;;;;;;;;;;;;;
Kawasaki W175 Cafe 2019 Abu2 Keren;w175tr;kawasaki;abu-abu;2019;jawa barat;22.000.000,00;175;15-30jt;;;;;;;;;;;;;;;;
HONDA PCX 150 TAHUN 2019 Jakarta;pcx;honda;putih;2019;jakarta;27.500.000,00;150;15-30jt;;;;;;;;;;;;;;;;
DT~100 1980 Plat B;dt 100;yamaha;kuning;1980;jawa timur;5.000.000,00;100;<15jt;;;;;;;;;;;;;;;;
Jual Vario;vario;honda;abu-abu;2017;banten;12.000.000,00;110;<15jt;;;;;;;;;;;;;;;;
Yamaha Nmax tahun 2016;n-max;yamaha;abu-abu;2016;jawa barat;18.500.000,00;125;15-30jt;;;;;;;;;;;;;;;;
